player,avg_moves,pct_long_games,avg_trades,avg_queen_move,pct_castled_early,avg_checks,win_rate,pct_wins,pct_draws,pct_losses
kmuruganim,125.0,1.0,22.0,24.0,1.0,6.0,0.5,0.0,1.0,0.0
lestri,75.5,0.75,16.75,20.25,0.5,5.25,0.5,0.5,0.0,0.5
ludusTrash,58.5,0.0,13.5,25.5,0.0,5.5,0.5,0.5,0.0,0.5
luntishe,82.4,0.2,17.0,14.6,0.2,6.0,0.1,0.0,0.2,0.8
magnusglad_bot,133.66666666666666,0.6666666666666666,22.0,19.333333333333332,0.6666666666666666,11.666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
manuel-abarca,66.0,0.0,12.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0
marcof93,22.0,0.0,2.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0
master05,58.0,0.0,14.0,10.0,0.0,5.0,0.0,0.0,0.0,1.0
matapichis,73.0,0.0,15.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0
micfel,71.25,0.25,15.5,21.75,0.5,3.25,0.5,0.5,0.0,0.5
mmc1975,69.0,0.0,17.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
mrwyy1,46.5,0.0,8.5,17.0,0.5,0.5,0.5,0.5,0.0,0.5
mux77,55.0,0.0,10.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0
nickVet,75.66666666666667,0.3333333333333333,16.666666666666668,16.5,0.5,5.0,0.5833333333333334,0.5,0.16666666666666666,0.3333333333333333
notrashopenings,76.48,0.36,17.0,20.52,0.52,3.4,0.42,0.4,0.04,0.56
nv222,76.0,0.0,18.0,19.0,1.0,6.0,0.0,0.0,0.0,1.0
odonata-bot,155.0,1.0,14.0,26.0,0.0,3.0,0.5,0.0,1.0,0.0
orhanilu,65.5,0.0,15.5,14.5,0.5,4.5,0.5,0.5,0.0,0.5
oyoy23,72.0,0.3333333333333333,15.777777777777779,22.333333333333332,0.3333333333333333,3.111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.5555555555555556
padzsyychess14,56.0,0.0,12.5,18.5,0.25,3.5,0.75,0.75,0.0,0.25
pawn_git,135.0,1.0,25.5,19.0,0.25,6.0,0.75,0.5,0.5,0.0
pbkttc,87.0,0.5,15.5,20.5,0.5,4.5,0.25,0.0,0.5,0.5
perkovskiy-aa,74.0,0.0,13.0,28.0,0.0,4.0,0.0,0.0,0.0,1.0
pmlmail,89.8,0.4,19.4,31.6,0.6,6.4,0.4,0.2,0.4,0.4
pulgarcitapink,83.0,0.5,18.5,25.5,0.5,3.0,1.0,1.0,0.0,0.0
qinbang,45.0,0.0,6.0,17.0,1.0,3.0,1.0,1.0,0.0,0.0
rdarruda,60.5,0.0,11.0,22.0,0.0,1.5,0.5,0.5,0.0,0.5
richfieldrivera2020,116.0,1.0,26.0,31.0,0.0,8.0,0.0,0.0,0.0,1.0
romaucb,60.5,0.0,16.0,22.5,0.5,3.0,0.5,0.5,0.0,0.5
rpcousins,89.0,1.0,20.0,8.0,0.0,14.0,1.0,1.0,0.0,0.0
rtahmass,84.3913043478261,0.5652173913043478,18.73913043478261,19.608695652173914,0.2608695652173913,5.739130434782608,0.6086956521739131,0.5652173913043478,0.08695652173913043,0.34782608695652173
segisvona,118.0,1.0,24.0,12.0,0.0,10.0,0.5,0.0,1.0,0.0
semnik,100.0,0.5,18.5,21.5,0.5,14.0,1.0,1.0,0.0,0.0
serzh_chekhov,100.0,1.0,30.0,6.0,0.0,10.0,0.5,0.0,1.0,0.0
shalygin1959A,63.666666666666664,0.0,17.0,23.333333333333332,0.0,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
sheen4life,76.5,0.25,17.0,21.5,0.5,4.25,1.0,1.0,0.0,0.0
shirokirina2010,104.0,1.0,22.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0
simbelmyne-bot,132.25,0.75,21.75,24.75,0.5,12.5,0.75,0.75,0.0,0.25
simpleEval,123.0,1.0,22.0,10.0,0.0,11.0,1.0,1.0,0.0,0.0
simplesimpson03,54.25,0.25,13.0,21.5,0.5,0.75,0.25,0.25,0.0,0.75
suaiFinn,156.0,1.0,26.0,16.0,1.0,10.0,0.0,0.0,0.0,1.0
supercute,92.0,1.0,22.0,15.0,1.0,2.0,0.0,0.0,0.0,1.0
tehuelchesss,57.5,0.0,10.5,31.0,0.5,0.5,0.5,0.5,0.0,0.5
thewitcher2022,72.0,0.3333333333333333,16.333333333333332,24.333333333333332,0.6666666666666666,3.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0
thewizrdhhh,75.75,0.25,14.25,28.75,0.0,3.5,0.25,0.25,0.0,0.75
thundertwister,73.0,0.5,16.75,21.75,0.625,3.625,0.5,0.5,0.0,0.5
timka2006,38.0,0.0,6.0,23.0,0.0,2.0,0.0,0.0,0.0,1.0
tiranooo,56.0,0.0,8.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0
titanshahmat2003,93.38461538461539,0.5384615384615384,19.153846153846153,21.384615384615383,0.23076923076923078,4.6923076923076925,0.6153846153846154,0.6153846153846154,0.0,0.38461538461538464
tm313,58.0,0.0,15.333333333333334,17.333333333333332,0.0,3.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
tomlesspit,201.75,0.75,24.25,17.5,0.5,12.25,0.625,0.25,0.75,0.0
tough-guy,122.0,1.0,21.0,29.0,0.0,11.0,0.0,0.0,0.0,1.0
vitaminasvita,53.0,0.0,15.0,10.0,0.0,4.0,1.0,1.0,0.0,0.0
zee-egel,95.0,1.0,25.0,17.0,1.0,6.0,1.0,1.0,0.0,0.0
zhuzhu415,72.33333333333333,0.3333333333333333,14.333333333333334,18.166666666666668,0.5,4.333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.3333333333333333
